facility_id,predicted_satisfaction,actual_satisfaction,rank,priority,feature,shap_impact,recommendation,estimated_impact
,73.06,72.88,1,MEDIUM,bed_count,1.9289,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,73.06,72.88,2,HIGH,MORT_30_AMI,0.1116,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,73.06,72.88,3,HIGH,hospital_overall_rating,-0.0702,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,73.2,72.88,1,MEDIUM,bed_count,1.7375,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,73.2,72.88,2,HIGH,MORT_30_AMI,0.1089,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,73.2,72.88,3,HIGH,hospital_overall_rating,-0.0712,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,71.55,72.88,1,HIGH,OP_18b,0.3254,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,71.55,72.88,2,HIGH,avg_er_wait_minutes,0.1622,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,71.55,72.88,3,HIGH,MORT_30_AMI,0.1245,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,72.13,72.88,1,HIGH,OP_18b,0.3077,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,72.13,72.88,2,HIGH,avg_er_wait_minutes,0.1472,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,72.13,72.88,3,HIGH,MORT_30_AMI,0.1118,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,73.12,72.88,1,MEDIUM,bed_count,1.9637,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,73.12,72.88,2,HIGH,MORT_30_AMI,0.1141,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,73.12,72.88,3,HIGH,hospital_overall_rating,-0.0385,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,73.06,72.88,1,MEDIUM,bed_count,1.9289,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,73.06,72.88,2,HIGH,MORT_30_AMI,0.1116,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,73.06,72.88,3,HIGH,hospital_overall_rating,-0.0702,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,72.76,72.88,1,MEDIUM,bed_count,0.2136,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,72.76,72.88,2,HIGH,MORT_30_AMI,0.1204,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,72.76,72.88,3,HIGH,OP_18b,0.1133,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,73.06,72.88,1,MEDIUM,bed_count,1.9289,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,73.06,72.88,2,HIGH,MORT_30_AMI,0.1116,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,73.06,72.88,3,HIGH,hospital_overall_rating,-0.0702,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,73.29,72.88,1,MEDIUM,bed_count,1.9559,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,73.29,72.88,2,HIGH,MORT_30_AMI,0.1092,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,73.29,72.88,3,HIGH,hospital_overall_rating,-0.0704,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,72.68,72.88,1,MEDIUM,bed_count,0.1711,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,72.68,72.88,2,HIGH,MORT_30_AMI,0.1326,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,72.68,72.88,3,HIGH,OP_18b,0.0916,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,72.66,72.88,1,MEDIUM,bed_count,0.6099,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,72.66,72.88,2,HIGH,MORT_30_AMI,0.1192,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,73.06,72.88,1,MEDIUM,bed_count,1.9289,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,73.06,72.88,2,HIGH,MORT_30_AMI,0.1116,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,73.06,72.88,3,HIGH,hospital_overall_rating,-0.0702,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,72.71,72.88,1,HIGH,OP_18b,0.1839,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,72.71,72.88,2,HIGH,MORT_30_AMI,0.1332,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,72.71,72.88,3,HIGH,avg_er_wait_minutes,0.0719,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,73.06,72.88,1,MEDIUM,bed_count,1.9289,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,73.06,72.88,2,HIGH,MORT_30_AMI,0.1116,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,73.06,72.88,3,HIGH,hospital_overall_rating,-0.0702,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,72.79,72.88,1,MEDIUM,bed_count,1.0574,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,72.79,72.88,2,HIGH,MORT_30_AMI,0.1161,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,72.79,72.88,3,HIGH,hospital_overall_rating,-0.0712,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,72.74,72.88,1,MEDIUM,bed_count,0.8088,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,72.74,72.88,2,HIGH,MORT_30_AMI,0.1137,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,72.74,72.88,3,HIGH,hospital_overall_rating,-0.0477,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,72.78,72.88,1,HIGH,OP_18b,0.3121,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,72.78,72.88,2,HIGH,avg_er_wait_minutes,0.1396,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,72.78,72.88,3,HIGH,MORT_30_AMI,0.1099,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,72.61,72.88,1,MEDIUM,bed_count,1.0499,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,72.61,72.88,2,HIGH,MORT_30_AMI,0.1205,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,72.61,72.88,3,HIGH,hospital_overall_rating,-0.0503,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,72.73,72.88,1,MEDIUM,bed_count,1.2654,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,72.73,72.88,2,HIGH,MORT_30_AMI,0.1183,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,72.73,72.88,3,HIGH,OP_18b,0.0665,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,72.7,72.88,1,MEDIUM,bed_count,0.8533,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,72.7,72.88,2,HIGH,MORT_30_AMI,0.121,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,72.7,72.88,3,HIGH,OP_18b,0.0397,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,73.06,72.88,1,MEDIUM,bed_count,1.9289,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,73.06,72.88,2,HIGH,MORT_30_AMI,0.1116,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,73.06,72.88,3,HIGH,hospital_overall_rating,-0.0702,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,72.74,72.88,1,MEDIUM,bed_count,1.4407,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,72.74,72.88,2,HIGH,MORT_30_AMI,0.1178,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,72.74,72.88,3,HIGH,OP_18b,0.0646,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,72.59,72.88,1,MEDIUM,bed_count,0.6608,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,72.59,72.88,2,HIGH,MORT_30_AMI,0.1211,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,72.59,72.88,3,HIGH,OP_18b,0.0204,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,73.05,72.88,1,MEDIUM,bed_count,1.6399,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,73.05,72.88,2,HIGH,MORT_30_AMI,0.1146,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,73.05,72.88,3,HIGH,OP_18b,0.0558,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,72.7,72.88,1,MEDIUM,bed_count,0.4801,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,72.7,72.88,2,HIGH,MORT_30_AMI,0.1325,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,72.7,72.88,3,HIGH,OP_18b,0.0653,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,73.09,72.88,1,MEDIUM,bed_count,1.7596,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,73.09,72.88,2,HIGH,MORT_30_AMI,0.1146,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,73.09,72.88,3,HIGH,OP_18b,0.0621,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,72.71,72.88,1,MEDIUM,bed_count,1.4967,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,72.71,72.88,2,HIGH,MORT_30_AMI,0.1149,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,72.71,72.88,3,HIGH,OP_18b,0.0617,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,72.67,72.88,1,MEDIUM,bed_count,0.5674,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,72.67,72.88,2,HIGH,MORT_30_AMI,0.13,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,72.67,72.88,3,HIGH,OP_18b,0.0386,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,72.62,72.88,1,HIGH,OP_18b,0.2449,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,72.62,72.88,2,HIGH,MORT_30_AMI,0.124,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,72.62,72.88,3,HIGH,avg_er_wait_minutes,0.0911,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,72.62,72.88,1,MEDIUM,bed_count,1.0401,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,72.62,72.88,2,HIGH,MORT_30_AMI,0.1205,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,72.62,72.88,3,HIGH,hospital_overall_rating,-0.0503,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,72.61,72.88,1,MEDIUM,bed_count,1.7423,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,72.61,72.88,2,HIGH,MORT_30_AMI,0.1158,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,72.61,72.88,3,HIGH,hospital_overall_rating,-0.0484,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,73.15,72.12,1,MEDIUM,bed_count,0.8865,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,73.15,72.12,2,LOW,deprivation_index,0.161,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,73.15,72.12,3,LOW,pct_uninsured,0.115,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,70.65,66.12,1,HIGH,MORT_30_AMI,0.0435,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,66.69,67.38,1,HIGH,hospital_overall_rating,-2.9125,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,66.69,67.38,2,LOW,deprivation_index,0.3181,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,66.69,67.38,3,LOW,pct_uninsured,0.2341,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,75.12,69.0,1,LOW,deprivation_index,0.1521,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,75.12,69.0,2,LOW,pct_uninsured,0.0916,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,70.75,69.5,1,LOW,deprivation_index,0.1352,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,70.75,69.5,2,LOW,pct_uninsured,0.1125,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,70.75,69.5,3,HIGH,avg_er_wait_minutes,0.0012,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,75.84,78.0,1,LOW,pct_uninsured,0.7866,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,75.84,78.0,2,LOW,deprivation_index,0.3976,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,75.84,78.0,3,HIGH,OP_18b,0.0353,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,73.82,69.88,1,MEDIUM,bed_count,0.2848,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,73.82,69.88,2,LOW,pct_uninsured,0.2244,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,73.82,69.88,3,LOW,deprivation_index,0.2106,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,66.6,65.88,1,HIGH,hospital_overall_rating,-2.7817,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,66.6,65.88,2,LOW,pct_uninsured,0.2627,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,66.6,65.88,3,LOW,deprivation_index,0.2079,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,77.42,76.0,1,HIGH,OP_18b,0.4413,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,77.42,76.0,2,HIGH,avg_er_wait_minutes,0.3433,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,77.42,76.0,3,LOW,deprivation_index,0.1369,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,75.89,76.5,1,HIGH,OP_18b,0.398,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,75.89,76.5,2,HIGH,avg_er_wait_minutes,0.3359,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,75.89,76.5,3,LOW,deprivation_index,0.234,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,71.44,74.38,1,LOW,pct_uninsured,0.2914,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,71.44,74.38,2,LOW,deprivation_index,0.2687,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,72.07,73.62,1,LOW,pct_uninsured,0.4026,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,72.07,73.62,2,LOW,deprivation_index,0.3194,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,79.13,78.75,1,HIGH,OP_18b,0.4837,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,79.13,78.75,2,HIGH,avg_er_wait_minutes,0.3521,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,79.13,78.75,3,LOW,deprivation_index,0.1903,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,73.1,64.75,1,LOW,pct_uninsured,0.3404,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,73.1,64.75,2,LOW,deprivation_index,0.281,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,73.1,64.75,3,HIGH,OP_18b,0.1004,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,66.77,67.38,1,HIGH,hospital_overall_rating,-3.0393,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,66.77,67.38,2,LOW,pct_uninsured,0.4214,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,66.77,67.38,3,LOW,deprivation_index,0.3235,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,67.3,66.0,1,HIGH,hospital_overall_rating,-2.6471,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,67.3,66.0,2,LOW,pct_uninsured,0.3073,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,67.3,66.0,3,HIGH,MORT_30_AMI,0.2339,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,69.63,69.0,1,LOW,pct_uninsured,0.2288,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,69.63,69.0,2,LOW,deprivation_index,0.1683,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,71.05,73.0,1,LOW,pct_uninsured,0.3577,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,71.05,73.0,2,LOW,deprivation_index,0.2253,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,72.76,74.5,1,HIGH,MORT_30_AMI,0.6258,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,72.76,74.5,2,LOW,deprivation_index,0.2243,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,72.76,74.5,3,LOW,pct_uninsured,0.1708,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,72.77,72.38,1,LOW,pct_uninsured,0.2436,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,72.77,72.38,2,HIGH,OP_18b,0.232,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,72.77,72.38,3,LOW,deprivation_index,0.1001,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,68.84,69.25,1,LOW,pct_uninsured,0.3169,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,68.84,69.25,2,LOW,deprivation_index,0.2375,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,68.84,69.25,3,HIGH,hospital_overall_rating,-0.0689,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,62.31,62.38,1,HIGH,hospital_overall_rating,-4.9192,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,62.31,62.38,2,LOW,deprivation_index,0.3623,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,62.31,62.38,3,LOW,pct_uninsured,0.3234,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,66.64,58.25,1,HIGH,hospital_overall_rating,-3.0491,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,66.64,58.25,2,LOW,deprivation_index,0.4537,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,66.64,58.25,3,LOW,pct_uninsured,0.3643,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,72.2,74.12,1,LOW,pct_uninsured,0.3176,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,72.2,74.12,2,LOW,deprivation_index,0.1192,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,72.2,74.12,3,HIGH,MORT_30_AMI,0.0814,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,70.1,68.88,1,LOW,pct_uninsured,0.2469,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,70.1,68.88,2,LOW,deprivation_index,0.1233,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,74.02,66.38,1,LOW,pct_uninsured,0.6201,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,74.02,66.38,2,LOW,deprivation_index,0.1663,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,74.02,66.38,3,HIGH,OP_18b,0.0679,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,76.89,78.5,1,LOW,pct_uninsured,0.3196,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,76.89,78.5,2,LOW,deprivation_index,0.2841,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,76.89,78.5,3,HIGH,avg_er_wait_minutes,0.2428,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,72.69,72.62,1,LOW,pct_uninsured,0.4799,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,72.69,72.62,2,LOW,deprivation_index,0.3402,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,72.69,72.62,3,HIGH,avg_er_wait_minutes,0.2946,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,76.25,77.5,1,HIGH,hospital_overall_rating,-1.8999,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,76.25,77.5,2,MEDIUM,bed_count,1.5194,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,76.25,77.5,3,HIGH,avg_er_wait_minutes,0.408,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,65.3,65.38,1,HIGH,hospital_overall_rating,-3.0156,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,65.3,65.38,2,LOW,pct_uninsured,0.2322,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,65.3,65.38,3,LOW,deprivation_index,0.1968,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,74.49,75.38,1,HIGH,hospital_overall_rating,-2.1803,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,74.49,75.38,2,MEDIUM,bed_count,1.781,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,74.49,75.38,3,HIGH,avg_er_wait_minutes,0.5044,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,66.06,63.12,1,HIGH,hospital_overall_rating,-3.1976,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,66.06,63.12,2,LOW,pct_uninsured,0.2711,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,66.06,63.12,3,LOW,deprivation_index,0.1273,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,80.24,83.38,1,MEDIUM,bed_count,2.4388,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,80.24,83.38,2,HIGH,avg_er_wait_minutes,1.7718,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,80.24,83.38,3,LOW,deprivation_index,1.2782,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,79.44,80.25,1,MEDIUM,bed_count,2.7746,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,79.44,80.25,2,LOW,deprivation_index,0.5052,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,79.44,80.25,3,LOW,pct_uninsured,0.3543,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,82.39,86.88,1,MEDIUM,bed_count,2.7095,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,82.39,86.88,2,LOW,deprivation_index,1.4992,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,82.39,86.88,3,HIGH,avg_er_wait_minutes,0.7748,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,82.03,84.88,1,MEDIUM,bed_count,3.8291,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,82.03,84.88,2,LOW,deprivation_index,0.8133,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,82.03,84.88,3,HIGH,avg_er_wait_minutes,0.6493,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,75.96,72.88,1,MEDIUM,bed_count,2.3509,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,75.96,72.88,2,LOW,deprivation_index,0.503,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,75.96,72.88,3,LOW,pct_uninsured,0.4249,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,78.76,81.62,1,MEDIUM,bed_count,2.8324,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,78.76,81.62,2,HIGH,avg_er_wait_minutes,0.3187,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,78.76,81.62,3,LOW,deprivation_index,0.3058,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,79.68,84.38,1,MEDIUM,bed_count,2.51,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,79.68,84.38,2,LOW,deprivation_index,0.7128,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,79.68,84.38,3,HIGH,avg_er_wait_minutes,0.6884,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,74.88,75.12,1,HIGH,avg_er_wait_minutes,0.5119,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,74.88,75.12,2,HIGH,OP_18b,0.3526,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,74.88,75.12,3,LOW,deprivation_index,0.333,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,79.72,74.25,1,MEDIUM,bed_count,2.8081,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,79.72,74.25,2,LOW,deprivation_index,0.4735,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,79.72,74.25,3,LOW,pct_uninsured,0.3718,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,78.39,82.12,1,MEDIUM,bed_count,2.5877,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,78.39,82.12,2,LOW,deprivation_index,0.7174,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,78.39,82.12,3,LOW,pct_uninsured,0.5166,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
